Price,Adj Close,Close,High,Low,Open,Volume,20_SMA,50_SMA,ATR,ADX,Regime
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
Date,,,,,,,,,,,
2020-05-18,8823.25,8823.25,9158.2998046875,8806.75,9158.2998046875,773000,9255.902490234375,9244.795,200.60714285714286,38.48171471552214,Trending
2020-05-19,8879.099609375,8879.099609375,9030.349609375,8855.2998046875,8961.7001953125,762200,9236.764990234375,9199.7219921875,202.79638671875,34.39959422758968,Trending
2020-05-20,9066.5498046875,9066.5498046875,9093.7998046875,8875.349609375,8889.150390625,622300,9241.019970703124,9154.9869921875,203.57854352678572,30.87251071896649,Trending
2020-05-21,9106.25,9106.25,9178.5498046875,9056.099609375,9079.4501953125,631500,9236.96748046875,9112.0919921875,201.07142857142858,27.46974105600115,Trending
2020-05-22,9039.25,9039.25,9149.599609375,8968.5498046875,9067.900390625,675800,9223.2349609375,9067.4969921875,194.96428571428572,24.981406148140277,Ranging
2020-05-26,9029.0498046875,9029.0498046875,9161.650390625,8996.650390625,9099.75,655000,9216.967431640625,9028.288984375,188.16782924107142,22.509653670311597,Ranging
2020-05-27,9314.9501953125,9314.9501953125,9334.0,9004.25,9082.2001953125,763500,9218.599951171875,9005.558984375,195.26422991071428,21.188400280488658,Ranging
2020-05-28,9490.099609375,9490.099609375,9511.25,9336.5,9364.9501953125,837900,9224.059912109375,8986.19296875,200.46428571428572,18.92998345531885,Ranging
2020-05-29,9580.2998046875,9580.2998046875,9598.849609375,9376.900390625,9422.2001953125,967000,9225.407421875,8985.99595703125,205.99993024553572,16.66817271929318,Ranging
2020-06-01,9826.150390625,9826.150390625,9931.599609375,9706.9501953125,9726.849609375,794200,9223.719921875,8983.4149609375,206.33558872767858,15.057752546947869,Ranging
2020-06-02,9979.099609375,9979.099609375,9995.599609375,9824.0498046875,9880.849609375,770200,9257.99990234375,8999.0489453125,204.52490234375,14.730104840042332,Ranging
2020-06-03,10061.5498046875,10061.5498046875,10176.2001953125,10035.5498046875,10108.2998046875,794700,9300.797412109376,9020.9389453125,197.89990234375,14.258884892481218,Ranging
2020-06-04,10029.099609375,10029.099609375,10123.849609375,9944.25,10054.25,775100,9338.707373046875,9052.14494140625,199.20347377232142,16.083900649426045,Ranging
2020-06-05,10142.150390625,10142.150390625,10177.7998046875,10040.75,10093.7998046875,987100,9385.86240234375,9089.7189453125,199.53557477678572,19.32883310472359,Ranging
2020-06-08,10167.4501953125,10167.4501953125,10328.5,10120.25,10326.75,936500,9431.659912109375,9118.1589453125,189.29987444196428,24.776939413576578,Ranging
2020-06-09,10046.650390625,10046.650390625,10291.150390625,10021.4501953125,10181.150390625,754200,9472.032421875,9166.886953125,196.06061662946428,29.25070611880174,Trending
2020-06-10,10116.150390625,10116.150390625,10148.75,10036.849609375,10072.599609375,632400,9518.012451171875,9213.18896484375,188.44991629464286,33.16863383741607,Trending
2020-06-11,9902.0,9902.0,10112.0498046875,9885.0498046875,10094.099609375,715500,9543.9349609375,9244.87197265625,195.91775948660714,35.53765201545359,Trending
2020-06-12,9972.900390625,9972.900390625,9996.0498046875,9544.349609375,9544.9501953125,796300,9585.44248046875,9271.5009765625,215.24993024553572,37.82943960992283,Trending
2020-06-15,9813.7001953125,9813.7001953125,9943.349609375,9726.349609375,9919.349609375,716100,9619.285009765625,9294.56998046875,218.96421595982142,40.380748991048584,Trending
2020-06-16,9914.0,9914.0,10046.150390625,9728.5,10014.7998046875,899900,9673.822509765625,9327.22798828125,218.09995814732142,42.295201082768656,Trending
2020-06-17,9881.150390625,9881.150390625,10003.599609375,9833.7998046875,9876.7001953125,685400,9723.925048828125,9352.89599609375,217.74637276785714,43.156330774904795,Trending
2020-06-18,10091.650390625,10091.650390625,10111.2001953125,9845.0498046875,9863.25,622900,9775.180078125,9389.6530078125,220.90359933035714,44.17734857678391,Trending
2020-06-19,10244.400390625,10244.400390625,10272.400390625,10072.650390625,10119.0,892100,9832.08759765625,9432.86501953125,219.12506975446428,44.51352288573004,Trending
2020-06-22,10311.2001953125,10311.2001953125,10393.650390625,10277.599609375,10318.75,685400,9895.685107421876,9463.24501953125,215.16085379464286,43.93795263797341,Trending
2020-06-23,10471.0,10471.0,10484.7001953125,10301.75,10347.9501953125,669200,9967.7826171875,9497.69001953125,218.18226841517858,42.96479826148799,Trending
2020-06-24,10305.2998046875,10305.2998046875,10553.150390625,10281.9501953125,10529.25,854800,10017.30009765625,9521.5580078125,224.72516741071428,42.576377317011406,Trending
2020-06-25,10288.900390625,10288.900390625,10361.7998046875,10194.5,10235.5498046875,994200,10057.24013671875,9547.4590234375,226.88588169642858,39.96913545680529,Trending
2020-06-26,10383.0,10383.0,10409.849609375,10311.25,10378.900390625,671900,10097.375146484375,9576.61302734375,219.0537109375,35.575496432100515,Trending
2020-06-29,10312.400390625,10312.400390625,10337.9501953125,10223.599609375,10311.9501953125,574500,10121.687646484375,9603.0050390625,207.95731026785714,31.909244012948623,Trending
2020-06-30,10302.099609375,10302.099609375,10401.0498046875,10267.349609375,10382.599609375,556200,10137.837646484375,9623.71203125,209.51443917410714,28.427775148026445,Trending
2020-07-01,10430.0498046875,10430.0498046875,10447.0498046875,10299.599609375,10323.7998046875,573600,10156.262646484374,9647.07603515625,203.83231026785714,27.582306765283892,Trending
